Model,TP,FN,FP,TN,OA,AA,P,R,F1,FAR(FPR),TPR
NN,16516.25,3483.75,469.0,79531.0,0.9604725000000001,0.909975,0.9723876183670254,0.8258125000000002,0.8931247190216957,0.0058625,0.8258125000000002
CNN,16476.875,3523.125,254.0,79746.0,0.96222875,0.910334375,0.9848183262161035,0.82384375,0.8971651495754788,0.0031750000000000003,0.82384375
ANN,17663.875,2336.125,1220.0,78780.0,0.96443875,0.9339718749999999,0.9353944858913565,0.8831937500000001,0.9085444774118323,0.01525,0.8831937500000001
ACNN,14530.5,5469.5,270.0,79730.0,0.9426050000000001,0.8615750000000001,0.9817570703518295,0.726525,0.8350707110506979,0.003375,0.726525
MINDFUL,18095.0,1905.0,1353.0,78647.0,0.9674200000000001,0.9439187499999999,0.9304297291061313,0.9047500000000002,0.9174097505459425,0.0169125,0.9047500000000002
